word_index,emoji,unicode_codepoint
828,⛆,U+26C6
829,⛇,U+26C7
830,⛈,U+26C8
831,⛉,U+26C9
832,⛊,U+26CA
833,⛋,U+26CB
834,⛌,U+26CC
835,⛍,U+26CD
836,⛎,U+26CE
837,⛏,U+26CF
838,⛐,U+26D0
839,⛑,U+26D1
840,⛒,U+26D2
841,⛓,U+26D3
842,⛔,U+26D4
843,⛕,U+26D5
844,⛖,U+26D6
845,⛗,U+26D7
846,⛘,U+26D8
847,⛙,U+26D9
848,⛚,U+26DA
849,⛛,U+26DB
850,⛜,U+26DC
851,⛝,U+26DD
852,⛞,U+26DE
853,⛟,U+26DF
854,⛠,U+26E0
855,⛡,U+26E1
856,⛢,U+26E2
857,⛣,U+26E3
858,⛤,U+26E4
859,⛥,U+26E5
860,⛦,U+26E6
861,⛧,U+26E7
862,⛨,U+26E8
863,⛩,U+26E9
864,⛪,U+26EA
865,⛫,U+26EB
866,⛬,U+26EC
867,⛭,U+26ED
868,⛮,U+26EE
869,⛯,U+26EF
870,⛰,U+26F0
871,⛱,U+26F1
872,⛲,U+26F2
873,⛳,U+26F3
874,⛴,U+26F4
875,⛵,U+26F5
876,⛶,U+26F6
877,⛷,U+26F7
878,⛸,U+26F8
879,⛹,U+26F9
880,⛺,U+26FA
881,⛻,U+26FB
882,⛼,U+26FC
883,⛽,U+26FD
884,⛾,U+26FE
885,⛿,U+26FF
886,✀,U+2700
887,✁,U+2701
888,✂,U+2702
889,✃,U+2703
890,✄,U+2704
891,✅,U+2705
892,✆,U+2706
893,✇,U+2707
894,✈,U+2708
895,✉,U+2709
896,✊,U+270A
897,✋,U+270B
898,✌,U+270C
899,✍,U+270D
900,✎,U+270E
901,✏,U+270F
902,✐,U+2710
903,✑,U+2711
904,✒,U+2712
905,✓,U+2713
906,✔,U+2714
907,✕,U+2715
908,✖,U+2716
909,✗,U+2717
910,✘,U+2718
911,✙,U+2719
912,✚,U+271A
913,✛,U+271B
914,✜,U+271C
915,✝,U+271D
916,✞,U+271E
917,✟,U+271F
918,✠,U+2720
919,✡,U+2721
920,✢,U+2722
921,✣,U+2723
922,✤,U+2724
923,✥,U+2725
924,✦,U+2726
925,✧,U+2727
926,✨,U+2728
927,✩,U+2729
928,✪,U+272A
929,✫,U+272B
930,✬,U+272C
931,✭,U+272D
932,✮,U+272E
933,✯,U+272F
934,✰,U+2730
935,✱,U+2731
936,✲,U+2732
937,✳,U+2733
938,✴,U+2734
939,✵,U+2735
940,✶,U+2736
941,✷,U+2737
942,✸,U+2738
943,✹,U+2739
944,✺,U+273A
945,✻,U+273B
946,✼,U+273C
947,✽,U+273D
948,✾,U+273E
949,✿,U+273F
950,❀,U+2740
951,❁,U+2741
952,❂,U+2742
953,❃,U+2743
954,❄,U+2744
955,❅,U+2745
956,❆,U+2746
957,❇,U+2747
958,❈,U+2748
959,❉,U+2749
960,❊,U+274A
961,❋,U+274B
962,❌,U+274C
963,❍,U+274D
964,❎,U+274E
965,❏,U+274F
966,❐,U+2750
967,❑,U+2751
968,❒,U+2752
969,❓,U+2753
970,❔,U+2754
971,❕,U+2755
972,❖,U+2756
973,❗,U+2757
974,❘,U+2758
975,❙,U+2759
976,❚,U+275A
977,❛,U+275B
978,❜,U+275C
979,❝,U+275D
980,❞,U+275E
981,❟,U+275F
982,❠,U+2760
983,❡,U+2761
984,❢,U+2762
985,❣,U+2763
986,❤,U+2764
987,❥,U+2765
988,❦,U+2766
989,❧,U+2767
990,❨,U+2768
991,❩,U+2769
992,❪,U+276A
993,❫,U+276B
994,❬,U+276C
995,❭,U+276D
996,❮,U+276E
997,❯,U+276F
998,❰,U+2770
999,❱,U+2771
1000,❲,U+2772
1001,❳,U+2773
1002,❴,U+2774
1003,❵,U+2775
1004,❶,U+2776
1005,❷,U+2777
1006,❸,U+2778
1007,❹,U+2779
1008,❺,U+277A
1009,❻,U+277B
1010,❼,U+277C
1011,❽,U+277D
1012,❾,U+277E
1013,❿,U+277F
1014,➀,U+2780
1015,➁,U+2781
1016,➂,U+2782
1017,➃,U+2783
1018,➄,U+2784
1019,➅,U+2785
1020,➆,U+2786
1021,➇,U+2787
1022,➈,U+2788
1023,➉,U+2789
1024,➊,U+278A
1025,➋,U+278B
1026,➌,U+278C
1027,➍,U+278D
1028,➎,U+278E
1029,➏,U+278F
1030,➐,U+2790
1031,➑,U+2791
1032,➒,U+2792
1033,➓,U+2793
1034,➔,U+2794
1035,➕,U+2795
1036,➖,U+2796
1037,➗,U+2797
1038,➘,U+2798
1039,➙,U+2799
1040,➚,U+279A
1041,➛,U+279B
1042,➜,U+279C
1043,➝,U+279D
1044,➞,U+279E
1045,➟,U+279F
1046,➠,U+27A0
1047,➡,U+27A1
1048,➢,U+27A2
1049,➣,U+27A3
1050,➤,U+27A4
1051,➥,U+27A5
1052,➦,U+27A6
1053,➧,U+27A7
1054,➨,U+27A8
1055,➩,U+27A9
1056,➪,U+27AA
1057,➫,U+27AB
1058,➬,U+27AC
1059,➭,U+27AD
1060,➮,U+27AE
1061,➯,U+27AF
1062,➰,U+27B0
1063,➱,U+27B1
1064,➲,U+27B2
1065,➳,U+27B3
1066,➴,U+27B4
1067,➵,U+27B5
1068,➶,U+27B6
1069,➷,U+27B7
1070,➸,U+27B8
1071,➹,U+27B9
1072,➺,U+27BA
1073,➻,U+27BB
1074,➼,U+27BC
1075,➽,U+27BD
1076,➾,U+27BE
1077,➿,U+27BF
1078,🀄,U+1F004
1079,🃏,U+1F0CF
1080,🅰,U+1F170
1081,🅱,U+1F171
1082,🅾,U+1F17E
1083,🅿,U+1F17F
1084,🆎,U+1F18E
1085,🆑,U+1F191
1086,🆒,U+1F192
